City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
495,Princeton,US,88.02,light intensity drizzle,25.5384,-80.4089,American Best Inn
496,San Policarpo,PH,80.44,overcast clouds,12.1791,125.5072,Agapita M. Nicart
497,Farafangana,MG,75.92,broken clouds,-22.8167,47.8333,Miarina
499,Kulhudhuffushi,MV,81.99,overcast clouds,6.6221,73.07,Haajy Guest House 1
500,Safford,US,81.93,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
505,Springfield,US,78.04,overcast clouds,37.2153,-93.2982,University Plaza Hotel & Convention Center
507,Salta,AR,77.58,clear sky,-24.7859,-65.4117,Hotel Alejandro I
508,Isangel,VU,76.28,few clouds,-19.55,169.2667,Tanna Lodge
514,Tecate,MX,75.16,overcast clouds,32.5667,-116.6333,Hotel El Dorado
515,Hervey Bay,AU,77.04,few clouds,-25.2986,152.8535,Shelly Bay Resort
516,Sinnamary,GF,80.92,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
517,General Roca,AR,79.63,broken clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
518,Kutum,SD,77.67,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
522,Chake Chake,TZ,75.54,clear sky,-5.2459,39.7666,Hotel Archipelago
523,Koungheul,SN,85.33,overcast clouds,13.9833,-14.8,
524,Les Cayes,HT,84.13,few clouds,18.2,-73.75,Villa Orphee
525,Santa Rosa,PH,78.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
530,Natal,BR,83.05,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
534,Dicabisagan,PH,76.98,moderate rain,17.0818,122.4157,Nancy Montanes Bernardo
538,Codajas,BR,89.65,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
541,La Asuncion,VE,82.67,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
544,Tecoanapa,MX,84.29,overcast clouds,16.5167,-98.75,Hotel Manglares
552,Nizwa,OM,80.47,clear sky,22.9333,57.5333,Orient Apartments
553,Bundaberg,AU,77.22,clear sky,-24.85,152.35,Takalvan Motel
555,Bubaque,GW,82.47,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
560,Sur,OM,81.32,clear sky,22.5667,59.5289,Sur Plaza Hotel
567,Mulanje,MW,80.1,clear sky,-16.0316,35.5,Mulanje Motel
571,Tessalit,ML,88.61,few clouds,20.1986,1.0114,
573,Vitorino Freire,BR,86.2,overcast clouds,-4.0667,-45.1667,
575,Eyl,SO,78.93,overcast clouds,7.9803,49.8164,Amiin Hotel
576,Bontang,ID,76.71,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
577,Yarada,IN,77.32,mist,17.65,83.2667,Vishranti
581,Rincon,US,81.05,broken clouds,32.296,-81.2354,Days Inn Rincon
582,Soke,ML,88.93,scattered clouds,13.598,-5.9386,
584,Merauke,ID,77.54,overcast clouds,-8.4667,140.3333,
585,Fuerte Olimpo,PY,82.9,scattered clouds,-21.0415,-57.8738,Hospedaje DAMI
586,Sao Felipe,BR,83.03,broken clouds,-14.8167,-41.3833,
587,Sao Joao Da Barra,BR,78.89,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
590,Pandan,PH,78.89,moderate rain,14.0453,124.1694,Bonifacio Lodge
594,Adrar,MR,87.13,clear sky,20.5022,-10.0711,
597,Kieta,PG,79.23,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
602,Mangrol,IN,79.45,clear sky,21.1167,70.1167,Hotel The Royal Honours
603,Vaitape,PF,76.5,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
607,Tenkodogo,BF,81.43,broken clouds,11.78,-0.3697,Hôtel Tiéba
610,Niltepec,MX,88.81,scattered clouds,16.5667,-94.6167,Hotel Palma Real
611,Denpasar,ID,76.71,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
613,Dindigul,IN,75.18,heavy intensity rain,10.35,77.95,Senthil Residency
