City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Bethel,US,2021-10-23 16:51:05,41.3712,-73.414,57.29,62,90,5.75
170,Bose,IT,2021-10-23 16:51:05,45.4612,8.0137,58.95,79,3,3.42
171,Broken Hill,AU,2021-10-23 16:51:06,-31.95,141.4333,53.31,50,0,14.97
172,Karratha,AU,2021-10-23 16:51:06,-20.7377,116.8463,80.58,44,79,10.63
173,Hami,CN,2021-10-23 16:51:07,42.8,93.45,50.34,39,100,6.04
174,Bathsheba,BB,2021-10-23 16:51:07,13.2167,-59.5167,88.41,62,40,23.02
175,Shibetsu,JP,2021-10-23 16:51:08,43.659,145.132,39.56,83,5,7.67
176,Mlonggo,ID,2021-10-23 16:51:08,-6.5333,110.7,80.02,79,97,2.8
177,Alexandria,EG,2021-10-23 16:51:09,31.2156,29.9553,71.56,60,40,11.5
178,Clyde River,CA,2021-10-23 16:51:10,70.4692,-68.5914,23.76,80,96,15.37
179,Esperance,AU,2021-10-23 16:51:10,-33.8667,121.9,51.64,70,1,17.9
180,Tuatapere,NZ,2021-10-23 16:51:11,-46.1333,167.6833,50.97,97,100,0.89
181,Traverse City,US,2021-10-23 16:50:06,44.7631,-85.6206,51.37,83,90,3.44
182,Alice Town,BS,2021-10-23 16:51:13,25.7167,-79.3,81.23,72,88,8.93
183,Sulangan,PH,2021-10-23 16:51:13,11.1373,123.7228,81.79,76,100,6.55
184,Klamath Falls,US,2021-10-23 16:49:15,42.2249,-121.7817,38.97,93,100,1.01
185,Port Hardy,CA,2021-10-23 16:51:14,50.6996,-127.4199,48.2,100,75,4.61
186,Latung,PH,2021-10-23 16:51:15,5.5,120.8833,81.46,77,100,9.64
187,Opuwo,NA,2021-10-23 16:51:15,-18.0607,13.84,83.57,9,4,15.43
188,Ambulu,ID,2021-10-23 16:51:16,-8.345,113.6058,77.83,83,99,2.13
189,Anadyr,RU,2021-10-23 16:51:16,64.75,177.4833,0.1,92,40,11.18
190,Umm Lajj,SA,2021-10-23 16:51:17,25.0213,37.2685,79.92,68,0,11.9
191,Porto Walter,BR,2021-10-23 16:51:18,-8.2686,-72.7439,99.5,33,23,5.97
192,Caravelas,BR,2021-10-23 16:51:19,-17.7125,-39.2481,79.86,67,69,9.28
193,Prince Rupert,CA,2021-10-23 16:51:19,54.3161,-130.3201,46.09,78,100,20.71
194,Kazachinskoye,RU,2021-10-23 16:51:21,57.6953,93.2761,39.99,65,100,14.2
195,Orsha,BY,2021-10-23 16:51:21,54.5153,30.4053,43.02,68,100,15.97
196,Dickinson,US,2021-10-23 16:51:22,29.4608,-95.0513,85.05,75,72,3.0
197,Zhangye,CN,2021-10-23 16:51:22,38.9342,100.4517,47.71,46,20,6.08
198,Avera,US,2021-10-23 16:51:23,33.194,-82.5271,72.93,45,0,5.77
199,Nehe,CN,2021-10-23 16:51:24,48.4833,124.8333,39.97,62,2,4.63
200,Maniitsoq,GL,2021-10-23 16:51:25,65.4167,-52.9,25.97,51,67,7.65
